date,orders,status,value,service_name 
3/1/2016,30,No Driver Found,5068700,Uber_GLAM
3/1/2016,0,No Driver Found,36400,Uber_MART
3/1/2016,50,No Driver Found,9464000,Uber_MASSAGE
3/1/2016,810,No Driver Found,25387180,Uber_RIDE
3/1/2016,20,No Driver Found,980980,Uber_SEND
3/1/2016,60,No Driver Found,1466920,Uber_SHOP
3/1/2016,10,Other,172900,Uber_FOOD
3/1/2016,0,Other,18200,Uber_MART
3/1/2016,10,Other,196560,Uber_RIDE
4/1/2016,250,Cancelled,107114280,Uber_BOX
4/1/2016,10,Cancelled,1756300,Uber_CLEAN
4/1/2016,31980,Cancelled,551014100,Uber_FOOD
4/1/2016,10,Cancelled,1446900,Uber_GLAM
4/1/2016,0,Cancelled,54600,Uber_KILAT
4/1/2016,2230,Cancelled,31213000,Uber_MART
4/1/2016,60,Cancelled,10639720,Uber_MASSAGE
4/1/2016,51680,Cancelled,1254493240,Uber_RIDE
4/1/2016,5190,Cancelled,204997520,Uber_SEND
4/1/2016,12080,Cancelled,321306440,Uber_SHOP
4/1/2016,140,Cancelled,,Uber_TIX
4/1/2016,530,Completed,204307740,Uber_BOX
4/1/2016,160,Completed,25536420,Uber_CLEAN
4/1/2016,66340,Completed,1120100800,Uber_FOOD
4/1/2016,50,Completed,8517600,Uber_GLAM
4/1/2016,30,Completed,709800,Uber_KILAT
4/1/2016,2620,Completed,36654800,Uber_MART
4/1/2016,450,Completed,86796710,Uber_MASSAGE
4/1/2016,335510,Completed,7218069040,Uber_RIDE
4/1/2016,29530,Completed,1092309400,Uber_SEND
4/1/2016,15740,Completed,387175880,Uber_SHOP
4/1/2016,20,Completed,,Uber_TIX
4/1/2016,10,Failed/Timeout,,Uber_TIX
4/1/2016,40,No Driver Found,27654445,Uber_BOX
4/1/2016,0,No Driver Found,773500,Uber_CLEAN
4/1/2016,820,No Driver Found,17235400,Uber_FOOD
4/1/2016,10,No Driver Found,1847300,Uber_GLAM
4/1/2016,30,No Driver Found,5241600,Uber_MASSAGE
4/1/2016,640,No Driver Found,18374720,Uber_RIDE
4/1/2016,30,No Driver Found,1122940,Uber_SEND
4/1/2016,60,No Driver Found,1383200,Uber_SHOP
4/1/2016,30,Other,464100,Uber_FOOD
4/1/2016,0,Other,18200,Uber_MART
4/1/2016,500,Other,11367720,Uber_RIDE
4/1/2016,40,Other,1385020,Uber_SEND
4/1/2016,10,Other,269360,Uber_SHOP
5/1/2016,210,Cancelled,90296570,Uber_BOX
5/1/2016,20,Cancelled,2866500,Uber_CLEAN
5/1/2016,36830,Cancelled,643087900,Uber_FOOD
5/1/2016,10,Cancelled,1137500,Uber_GLAM
5/1/2016,0,Cancelled,81900,Uber_KILAT
5/1/2016,1790,Cancelled,25043200,Uber_MART
5/1/2016,60,Cancelled,11165700,Uber_MASSAGE
5/1/2016,56800,Cancelled,1324641500,Uber_RIDE
5/1/2016,5700,Cancelled,221359320,Uber_SEND
5/1/2016,12790,Cancelled,332450300,Uber_SHOP
5/1/2016,140,Cancelled,,Uber_TIX
5/1/2016,460,Completed,175245070,Uber_BOX
5/1/2016,150,Completed,24409840,Uber_CLEAN
5/1/2016,71380,Completed,1210827800,Uber_FOOD
5/1/2016,50,Completed,7739550,Uber_GLAM
5/1/2016,30,Completed,709800,Uber_KILAT
5/1/2016,2430,Completed,34015800,Uber_MART
5/1/2016,360,Completed,72084740,Uber_MASSAGE
5/1/2016,326610,Completed,6903733200,Uber_RIDE
5/1/2016,30090,Completed,1107662920,Uber_SEND
5/1/2016,17070,Completed,420578340,Uber_SHOP
5/1/2016,30,Completed,,Uber_TIX
5/1/2016,20,Failed/Timeout,,Uber_TIX
5/1/2016,50,No Driver Found,40354405,Uber_BOX
5/1/2016,20,No Driver Found,482300,Uber_FOOD
5/1/2016,10,No Driver Found,2529800,Uber_GLAM
5/1/2016,30,No Driver Found,6197100,Uber_MASSAGE
5/1/2016,4200,No Driver Found,85731100,Uber_RIDE
5/1/2016,130,No Driver Found,4262440,Uber_SEND
5/1/2016,20,No Driver Found,442260,Uber_SHOP
5/1/2016,1240,Other,25807600,Uber_FOOD
5/1/2016,0,Other,27300,Uber_KILAT
